SquareFeet,Bedrooms,Bathrooms,HouseAge,DistanceToCityCenter,GarageSpaces,Neighborhood,Price
2073,2,1.0,9,30.0,1,Suburban,74895432.08
1724,1,3.0,2,7.4,0,Rural / Outskirts,300000.0
2156,2,1.0,23,1.0,0,Rural / Outskirts,9846828.3
2638,1,1.5,27,30.0,0,Suburban,11553770.11
1671,3,2.5,3,3.4,0,City Center,11912909.38
1671,4,1.0,15,2.2,1,Suburban,10082999.4
2669,1,4.0,7,5.3,0,Suburban,13797361.66
2222,4,2.0,15,2.4,1,Suburban,12539377.18
1542,3,1.0,26,1.0,0,Gated Society,10107891.49
2098,2,2.5,16,1.0,3,City Center,14023559.76
1545,1,3.0,18,3.9,2,Suburban,9195906.8
1544,3,4.0,21,11.8,1,City Center,11286913.27
1933,3,3.0,14,5.5,1,Gated Society,12295265.96
748,3,2.5,15,30.0,1,Suburban,4780639.43
851,1,4.0,14,2.2,1,Gated Society,7505091.49
1491,1,1.5,24,2.1,0,City Center,10058655.8
1243,2,4.0,1,1.1,2,Suburban,8736239.1
1973,2,1.5,10,1.2,1,Gated Society,12654398.02
1301,2,3.0,0,2.2,2,City Center,11130782.74
1023,2,3.0,14,10.2,0,Gated Society,7874782.62
2606,3,2.5,25,15.4,2,Suburban,13735398.49
1676,4,1.5,18,24.0,2,Suburban,9331851.49
1837,2,3.0,3,1.7,0,Suburban,10664944.37
1016,4,1.5,10,13.9,1,Suburban,6969753.54
1501,2,3.0,4,2.6,0,Suburban,9458141.54
1861,3,4.0,2,1.0,1,Suburban,11378743.09
1167,2,1.0,12,13.3,1,Gated Society,7924792.8
2007,3,2.0,9,6.6,1,Suburban,11401494.25
1470,5,4.0,10,1.2,1,City Center,12002367.05
1640,3,3.5,17,3.7,2,City Center,11783717.75
1469,2,1.0,1,2.2,0,City Center,10483072.0
2819,3,3.5,6,8.7,3,Suburban,15403243.62
1793,2,3.0,8,3.9,1,Gated Society,11738773.98
1218,4,2.0,9,29.5,2,Gated Society,8469134.44
2252,3,2.0,17,1.0,1,City Center,14750335.34
1129,2,3.0,22,2.9,0,Rural / Outskirts,5900927.45
1915,3,3.0,6,4.3,2,Suburban,11614562.59
722,3,1.5,26,4.5,1,Rural / Outskirts,3990239.44
1069,1,3.0,6,2.5,2,Gated Society,8804695.6
1908,3,2.5,2,8.5,1,Gated Society,12312255.81
2206,2,3.0,11,13.5,1,City Center,13323153.29
1894,3,2.5,6,18.1,1,City Center,12109181.45
1736,3,3.0,16,10.6,2,City Center,12234250.35
1634,3,1.5,25,12.4,0,Gated Society,9852461.27
987,3,2.5,0,5.2,2,Suburban,7640942.48
1404,3,1.0,4,11.4,2,Gated Society,10009139.95
1547,2,2.5,15,2.4,0,Suburban,9452036.99
2381,3,4.0,14,3.3,0,Gated Society,14240778.66
1989,2,1.5,1,2.5,2,City Center,13782755.65
830,3,3.5,8,4.1,1,City Center,8361920.74
1978,2,2.5,6,2.2,1,Suburban,11381305.31
1588,2,4.0,3,21.2,0,Suburban,8697463.94
1428,3,4.0,19,2.4,1,Suburban,9171757.38
2136,1,4.0,17,1.0,0,Gated Society,12930652.16
2367,3,3.0,20,4.9,1,City Center,14733268.28
2312,2,4.0,3,1.0,2,Suburban,13044908.4
1338,1,3.0,27,1.0,1,Gated Society,9024693.54
1630,3,3.5,12,1.6,1,City Center,12253964.85
1982,1,1.5,0,4.1,3,Rural / Outskirts,9874198.98
2337,2,2.0,27,3.7,2,Rural / Outskirts,11312687.81
1536,3,3.0,23,10.5,2,City Center,11180159.23
1698,1,4.0,2,8.7,1,Suburban,9898448.78
1192,3,4.0,15,3.6,2,Suburban,8533734.65
1142,1,1.0,29,2.6,0,Gated Society,7838056.44
2247,2,4.0,21,2.5,0,Suburban,11945952.52
2546,3,1.5,3,9.7,1,Suburban,13471312.4
1760,2,2.5,24,1.0,1,Gated Society,11103889.5
2352,1,2.5,22,1.0,2,City Center,14568856.06
1999,2,4.0,24,10.3,1,Gated Society,12187665.82
1445,2,1.0,15,4.2,2,Gated Society,10017870.26
1999,3,3.0,25,1.0,2,Suburban,11790348.39
2646,2,1.5,18,1.7,1,Rural / Outskirts,12317697.33
1780,3,1.0,0,17.5,1,Gated Society,10982307.59
2661,4,3.0,4,12.8,1,City Center,16131364.35
600,2,1.5,18,8.0,1,Suburban,4749380.91
2252,4,4.0,21,4.3,0,Suburban,12435784.59
1848,2,2.5,23,4.8,3,City Center,12613871.94
1636,4,1.5,10,24.0,0,Rural / Outskirts,7200913.17
1850,1,4.0,12,21.9,0,City Center,10966552.16
